name,address,amenities,street,city,state,zipcode,minprice,maxprice,minbed,maxbed,building_type,date,Latitude,Longitude,closest_theater_distance_miles,closest_grocery_distance_miles
The Monroe,"2511 Montopolis Dr, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Balcony, Stainless Steel Appliances, Gated",2511 Montopolis Dr, Austin,TX,78741,1099,1695,1,0,APT,2023-10-25 18:16:07,30.2182924,-97.7071978,3.9853581862436784,1.5393027963871193
Arise Riverside,"1900 Airport Commerce Dr, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer, Clubhouse, Balcony",1900 Airport Commerce Dr, Austin,TX,78741,1499,0,1,2,APT,2023-10-25 18:16:07,30.221444,-97.691433,4.930369059950971,2.106745738631303
The Zoey,"5700 E Riverside Dr, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Maintenance on site, Stainless Steel Appliances, Business Center",5700 E Riverside Dr, Austin,TX,78741,1256,1721,1,2,APT,2023-10-25 18:16:07,30.2286231,-97.7101883,3.7125882564941444,0.8957326793247418
ArborView Circle C Ranch 62+,"12100 Archeleta Blvd, Austin, TX 78739","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Stainless Steel Appliances, Granite Countertops, Hardwood Floors",12100 Archeleta Blvd, Austin,TX,78739,1525,1775,1,2,APT,2023-10-25 18:16:07,30.1710599,-97.8919965,2.3635956467158357,2.363566643659085
Laurel,"2001 Ed Bluestein Blvd, Austin, TX 78721","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse, Package Service, Elevator, EV Charging",2001 Ed Bluestein Blvd, Austin,TX,78721,1542,2743,1,3,APT,2023-10-25 18:16:07,30.2597423,-97.6739713,3.2440879499607487,2.242752137643413
Wilder,"8350 Bluff Springs Rd, Austin, TX 78744","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Stainless Steel Appliances, Gated, EV Charging",8350 Bluff Springs Rd, Austin,TX,78744,1391,1670,1,0,APT,2023-10-25 18:16:07,30.1681308,-97.7725019,1.49533787711893,0.8446810433916316
LaRue on Highland,"500 E Highland Mall Blvd, Austin, TX 78752","Dog & Cat Friendly, Clubhouse, Laundry Facilities",500 E Highland Mall Blvd, Austin,TX,78752,1274,0,1,0,APT,2023-10-25 18:16:07,30.3291812,-97.7103368,2.1441736630162205,1.8648173578125182
The Banks of Springdale,"5521 Springdale Rd, Austin, TX 78723","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Maintenance on site, Business Center, EV Charging",5521 Springdale Rd, Austin,TX,78723,1518,2369,1,0,APT,2023-10-25 18:16:07,30.298264,-97.6740036,1.8239518847785101,1.2317597232243653
Perch,"7731 Menchaca Rd, Austin, TX 78745","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, High-Speed Internet, Stainless Steel Appliances, Yard",7731 Menchaca Rd, Austin,TX,78745,1499,1625,1,2,APT,2023-10-25 18:16:07,30.19313799999999,-97.809652,2.407417400495019,1.6208181425609238
Residences at Decker,"9000 Decker Ln, Austin, TX 78724","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, Walk-In Closets, Clubhouse, Balcony, Patio, Business Center",9000 Decker Ln, Austin,TX,78724,1499,0,1,2,APT,2023-10-25 18:16:07,30.3171631,-97.616738,5.3950996070316,2.8074865206952766
